year,state,atkin05,gini,rmeandev,theil,top10,top1
1922,"Idaho",.0874648,.2953424,.3948297,.1882634,.2353559,.0588983
1922,"Illinois",.1914722,.4474348,.6389263,.5493168,.3872023,.1525609
1922,"Indiana",.1329529,.3694214,.5095828,.3427945,.3193249,.1082315
1922,"Iowa",.0903163,.307824,.4122569,.2268065,.2716959,.083444
1922,"Kansas",.125944,.3723502,.508082,.2946533,.2980726,.0879959
1922,"Kentucky",.1558058,.4122118,.5827741,.3951164,.350817,.111841
1922,"Louisiana",.137299,.383263,.5378042,.3551951,.3250781,.1103031
1922,"Maine",.163483,.4104791,.5855663,.4691795,.3535315,.1339813
1922,"Maryland",.1843763,.4492863,.6407892,.5005239,.380971,.1369662
1922,"Massachusetts",.2290878,.493253,.7126206,.6582057,.4274126,.1751254
1922,"Michigan",.1921257,.4290869,.6087995,.6504908,.376129,.1676951
1922,"Minnesota",.1567203,.4036528,.5637439,.4226196,.3502208,.1284542
1922,"Mississippi",.1444841,.3935953,.5410695,.3647674,.3268197,.1093572
1922,"Missouri",.1698099,.4224448,.6066524,.4566841,.3727909,.1310309
1922,"Montana",.098722,.3218794,.4294983,.2257072,.2540266,.0709778
1922,"Nebraska",.1230986,.3651442,.4986807,.2946219,.2983244,.0900537
1922,"Nevada",.0811583,.301242,.414187,.1744788,.2416847,.0532285
1922,"New Hampshire",.159936,.4082422,.5720383,.4182403,.3456334,.1222706
1922,"New Jersey",.1851209,.4365043,.6186525,.5709839,.3747472,.1491133
1922,"New Mexico",.0963579,.3228285,.4395147,.2222577,.2602877,.0744324
1922,"New York",.2521914,.5121016,.7569957,.788286,.4595225,.2007563
1922,"North Carolina",.1506243,.384955,.54022,.4231926,.3419765,.1286387
1922,"North Dakota",.0912545,.3168645,.4294367,.1969126,.2507488,.0611696
1922,"Ohio",.1735571,.4207532,.6025295,.5010923,.3725712,.1431049
1922,"Oklahoma",.1708992,.4219475,.5933152,.4842197,.3634925,.1287868
1922,"Oregon",.1492053,.38696,.5347954,.3964088,.33062,.1189889
1922,"Pennsylvania",.2014002,.4532408,.6551989,.5991214,.4037113,.1675674
