"Unique Key","Created Date","Closed Date","Complaint Type","Location"
7441157,"06/14/2007 12:00:00 AM","06/24/2007 12:00:00 AM","PLUMBING","(40.856719938532535, -73.90157573579084)"
9607492,"10/17/2007 12:00:00 AM","10/25/2007 12:00:00 AM","GENERAL CONSTRUCTION","(40.66324518364849, -73.92247516040835)"
9322786,"08/26/2007 12:00:00 AM","09/06/2007 12:00:00 AM","Sanitation Condition","(40.876465093026084, -73.87576062249633)"
9548600,"10/08/2007 12:00:00 AM","10/09/2007 12:00:00 AM","Sanitation Condition","(40.71043387075468, -73.85063698012934)"
8841907,"07/10/2007 12:00:00 AM","07/10/2007 12:00:00 AM","Water System","(40.64756237399507, -73.96272778216222)"
3658635,"02/08/2007 12:00:00 AM","02/08/2007 12:00:00 AM","Blocked Driveway","(40.686625494533, -73.87085717585695)"
9633958,"10/21/2007 12:00:00 AM","","Rodent","(40.872156353861634, -73.91958122116178)"
5181996,"07/02/2007 12:00:00 AM","07/02/2007 12:00:00 AM","Water System","(40.76280712821245, -73.99315571900932)"
4175904,"06/07/2007 12:00:00 AM","06/07/2007 12:00:00 AM","Street Light Condition","(40.71843019177559, -74.00053029504515)"
9162477,"08/22/2007 12:00:00 AM","08/23/2007 12:00:00 AM","Sewer","(40.73005302265748, -73.7935239089092)"
8986270,"07/30/2007 12:00:00 AM","10/31/2007 12:00:00 AM","Food Establishment","(40.78414745843342, -73.97389239857692)"
8254647,"05/24/2007 12:00:00 AM","05/29/2007 12:00:00 AM","PAINT - PLASTER","(40.80803023220328, -73.96669092984807)"
9590978,"10/14/2007 12:00:00 AM","10/30/2007 12:00:00 AM","Dirty Conditions","(40.730761133483746, -73.98300216148367)"
9251854,"08/27/2007 12:00:00 AM","08/28/2007 12:00:00 AM","Water System",""
9085293,"08/10/2007 12:00:00 AM","09/06/2007 12:00:00 AM","NONCONST","(40.652280134214735, -73.9611502540913)"
1992120,"01/05/2007 12:00:00 AM","01/04/2007 12:00:00 AM","Street Light Condition",""
9502771,"10/01/2007 12:00:00 AM","","Street Condition","(40.66787127887911, -73.87921678228078)"
8872484,"07/15/2007 12:00:00 AM","07/15/2007 12:00:00 AM","Noise - Vehicle","(40.834114042965055, -73.94111801372381)"
6686541,"03/25/2007 12:00:00 AM","04/03/2007 12:00:00 AM","HEATING","(40.82338946534853, -73.9392342181447)"
3721857,"03/01/2007 12:00:00 AM","05/04/2007 12:00:00 AM","Street Light Condition","(40.710740183760876, -73.94547608405419)"
8990317,"07/30/2007 12:00:00 AM","07/30/2007 12:00:00 AM","Traffic Signal Condition","(40.666469358702265, -73.8825067547414)"
8843183,"07/11/2007 12:00:00 AM","07/12/2007 12:00:00 AM","Noise - Street/Sidewalk","(40.698334385014064, -73.98207638117864)"
